#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
0.100 0.0025 1.87e-07 1.60e-07 11794.49 1478.34 269.11 -0.6 9411180 0.00e+00 5.75e-11 8.48e+05 1.15e-02 -1.15e+02 6.12e+01
0.102 0.0025 1.76e-07 1.50e-07 11438.30 1476.34 264.84 -0.6 9311264 0.00e+00 5.76e-11 8.49e+05 1.16e-02 -1.13e+02 5.94e+01
0.104 0.0026 1.65e-07 1.41e-07 11093.60 1474.24 260.64 -0.6 9212408 0.00e+00 5.75e-11 8.49e+05 1.17e-02 -1.12e+02 5.76e+01
0.107 0.0027 1.55e-07 1.33e-07 10759.32 1472.14 256.51 -0.6 9114601 0.00e+00 5.74e-11 8.49e+05 1.18e-02 -1.11e+02 5.58e+01
0.109 0.0028 1.46e-07 1.25e-07 10435.13 1470.04 252.44 -0.6 9017833 0.00e+00 5.73e-11 8.48e+05 1.19e-02 -1.09e+02 5.41e+01
0.111 0.0029 1.37e-07 1.17e-07 10121.38 1467.85 248.44 -0.6 8922092 0.00e+00 5.72e-11 8.47e+05 1.19e-02 -1.08e+02 5.25e+01
0.114 0.0030 1.29e-07 1.10e-07 9816.45 1465.75 244.50 -0.6 8827368 0.00e+00 5.71e-11 8.46e+05 1.20e-02 -1.06e+02 5.09e+01
0.116 0.0031 1.21e-07 1.04e-07 9521.35 1463.56 240.62 -0.6 8733650 0.00e+00 5.69e-11 8.44e+05 1.20e-02 -1.04e+02 4.94e+01
0.119 0.0032 1.14e-07 9.76e-08 9235.14 1461.36 236.80 -0.6 8640926 0.00e+00 5.67e-11 8.42e+05 1.21e-02 -1.03e+02 4.79e+01
0.121 0.0033 1.07e-07 9.18e-08 8958.14 1459.08 233.05 -0.6 8549187 0.00e+00 5.64e-11 8.39e+05 1.21e-02 -1.01e+02 4.65e+01
0.124 0.0034 1.01e-07 8.63e-08 8688.90 1456.88 229.35 -0.6 8458422 0.00e+00 5.62e-11 8.37e+05 1.21e-02 -9.94e+01 4.51e+01
0.126 0.0035 9.48e-08 8.11e-08 8428.32 1454.59 225.72 -0.6 8368620 0.00e+00 5.59e-11 8.34e+05 1.21e-02 -9.76e+01 4.37e+01
0.129 0.0036 8.91e-08 7.62e-08 8175.58 1452.30 222.14 -0.6 8279772 0.00e+00 5.56e-11 8.30e+05 1.21e-02 -9.59e+01 4.24e+01
