#1:r 2:H 3:Rho0 4:RhoMean 5:S 6:Tc 7:Te 8:Vr 9:Vphi 10:tauR 11:x 12:s_e 13:B_r 14:B_phi 15:B_z
0.052 0.0009 1.28e-07 1.09e-07 3055.50 1530.89 783.38 -42.3 13076793 0.00e+00 1.51e-10 2.18e+06 7.70e-01 -3.57e+01 5.28e+01
0.054 0.0010 1.12e-07 9.56e-08 2859.33 1526.60 756.75 -43.2 12778772 0.00e+00 1.52e-10 2.19e+06 7.95e-01 -3.44e+01 4.95e+01
0.057 0.0011 9.77e-08 8.36e-08 2675.95 1522.21 731.03 -44.1 12487543 0.00e+00 1.53e-10 2.21e+06 8.20e-01 -3.30e+01 4.63e+01
0.059 0.0011 8.55e-08 7.31e-08 2504.51 1517.73 706.18 -45.0 12202951 0.00e+00 1.53e-10 2.22e+06 8.44e-01 -3.17e+01 4.33e+01
0.062 0.0012 7.48e-08 6.40e-08 2344.07 1513.24 682.18 -45.9 11924845 0.00e+00 1.53e-10 2.22e+06 8.69e-01 -3.04e+01 4.05e+01
0.065 0.0013 6.54e-08 5.60e-08 2194.07 1508.67 659.00 -46.8 11653077 0.00e+00 1.53e-10 2.23e+06 8.93e-01 -2.91e+01 3.79e+01
0.068 0.0014 5.72e-08 4.90e-08 2053.55 1504.18 636.60 -47.8 11387503 0.00e+00 1.53e-10 2.24e+06 9.19e-01 -2.79e+01 3.55e+01
0.072 0.0015 5.01e-08 4.28e-08 1922.05 1499.70 614.96 -48.7 11127981 0.00e+00 1.54e-10 2.24e+06 9.46e-01 -2.68e+01 3.32e+01
0.075 0.0016 4.38e-08 3.75e-08 1799.11 1495.12 594.06 -49.7 10874374 0.00e+00 1.53e-10 2.24e+06 9.73e-01 -2.56e+01 3.11e+01
0.078 0.0017 3.83e-08 3.28e-08 1683.93 1490.64 573.87 -50.7 10626546 0.00e+00 1.53e-10 2.25e+06 1.00e+00 -2.46e+01 2.91e+01
0.082 0.0018 3.35e-08 2.87e-08 1576.14 1486.16 554.37 -51.7 10384367 0.00e+00 1.53e-10 2.25e+06 1.03e+00 -2.36e+01 2.73e+01
0.086 0.0020 2.93e-08 2.51e-08 1475.27 1481.68 535.53 -52.8 10147707 0.00e+00 1.53e-10 2.25e+06 1.06e+00 -2.26e+01 2.55e+01
0.090 0.0021 2.56e-08 2.19e-08 1380.86 1477.20 517.33 -53.9 9916440 0.00e+00 1.53e-10 2.26e+06 1.09e+00 -2.17e+01 2.39e+01
0.094 0.0022 2.24e-08 1.92e-08 1292.51 1472.71 499.74 -54.9 9690444 0.00e+00 1.53e-10 2.26e+06 1.13e+00 -2.08e+01 2.24e+01
0.099 0.0024 1.96e-08 1.68e-08 1209.74 1468.33 482.76 -56.1 9469598 0.00e+00 1.53e-10 2.26e+06 1.16e+00 -1.99e+01 2.09e+01
0.103 0.0026 1.72e-08 1.47e-08 1132.36 1463.84 466.35 -57.2 9253785 0.00e+00 1.53e-10 2.26e+06 1.20e+00 -1.91e+01 1.96e+01
0.108 0.0028 1.50e-08 1.28e-08 1059.87 1459.46 450.50 -58.3 9042891 0.00e+00 1.52e-10 2.27e+06 1.24e+00 -1.84e+01 1.83e+01
0.113 0.0029 1.31e-08 1.12e-08 992.03 1455.07 435.19 -59.5 8836803 0.00e+00 1.52e-10 2.27e+06 1.27e+00 -1.76e+01 1.72e+01
0.119 0.0031 1.17e-08 9.99e-09 938.65 1435.04 420.40 -60.1 8635412 0.00e+00 1.18e-10 1.78e+06 1.11e+00 -1.63e+01 1.62e+01
0.124 0.0033 1.04e-08 8.94e-09 891.99 1409.20 406.12 -60.4 8438610 0.00e+00 8.24e-11 1.26e+06 9.54e-01 -1.51e+01 1.54e+01
0.130 0.0035 9.32e-09 7.97e-09 845.55 1387.26 392.32 -60.8 8246294 0.00e+00 6.12e-11 9.42e+05 8.92e-01 -1.42e+01 1.46e+01
0.136 0.0038 8.27e-09 7.08e-09 799.32 1369.43 378.99 -61.4 8058360 0.00e+00 4.90e-11 7.61e+05 8.90e-01 -1.36e+01 1.38e+01
0.143 0.0040 7.29e-09 6.24e-09 751.82 1358.65 366.11 -62.4 7874710 0.00e+00 4.49e-11 7.00e+05 9.35e-01 -1.31e+01 1.30e+01
0.150 0.0043 6.40e-09 5.48e-09 705.50 1351.12 353.67 -63.5 7695245 0.00e+00 4.41e-11 6.91e+05 9.96e-01 -1.27e+01 1.22e+01
0.157 0.0046 5.70e-09 4.88e-09 668.26 1331.09 341.65 -64.0 7519870 0.00e+00 3.67e-11 5.80e+05 1.03e+00 -1.22e+01 1.16e+01
0.164 0.0049 5.09e-09 4.35e-09 633.87 1309.54 330.04 -64.4 7348492 0.00e+00 3.24e-11 5.18e+05 1.06e+00 -1.18e+01 1.10e+01
0.172 0.0052 4.52e-09 3.87e-09 599.36 1292.37 318.83 -65.1 7181019 0.00e+00 3.34e-11 5.40e+05 1.11e+00 -1.14e+01 1.04e+01
0.180 0.0055 4.00e-09 3.42e-09 565.36 1278.55 307.99 -65.9 7017363 0.00e+00 3.85e-11 6.27e+05 1.16e+00 -1.10e+01 9.78e+00
0.188 0.0059 3.53e-09 3.02e-09 532.23 1267.39 297.53 -66.8 6857437 0.00e+00 4.70e-11 7.69e+05 1.21e+00 -1.07e+01 9.20e+00
0.197 0.0063 3.11e-09 2.66e-09 500.28 1258.23 287.42 -67.9 6701156 0.00e+00 5.85e-11 9.62e+05 1.25e+00 -1.03e+01 8.65e+00
0.206 0.0067 2.79e-09 2.39e-09 476.64 1232.39 277.65 -68.0 6548436 0.00e+00 6.93e-11 1.16e+06 1.27e+00 -9.90e+00 8.24e+00
0.216 0.0071 2.50e-09 2.14e-09 453.06 1209.88 268.22 -68.3 6399197 0.00e+00 8.29e-11 1.40e+06 1.29e+00 -9.52e+00 7.84e+00
0.226 0.0075 2.23e-09 1.91e-09 429.80 1190.14 259.11 -68.8 6253359 0.00e+00 9.93e-11 1.70e+06 1.30e+00 -9.15e+00 7.43e+00
0.237 0.0080 2.00e-09 1.71e-09 409.07 1166.87 250.31 -69.0 6110844 0.00e+00 1.17e-10 2.02e+06 1.30e+00 -8.78e+00 7.07e+00
0.248 0.0083 1.87e-09 1.60e-09 400.29 1112.80 241.81 -67.4 5971578 0.00e+00 1.26e-10 2.26e+06 1.28e+00 -8.43e+00 6.92e+00
0.260 0.0087 1.76e-09 1.50e-09 393.18 1057.20 233.60 -65.5 5835485 0.00e+00 1.35e-10 2.50e+06 1.26e+00 -8.10e+00 6.80e+00
0.272 0.0091 1.66e-09 1.42e-09 387.06 1002.17 225.67 -63.5 5702494 0.00e+00 1.44e-10 2.76e+06 1.24e+00 -7.79e+00 6.69e+00
0.285 0.0095 1.56e-09 1.34e-09 380.88 950.36 218.01 -61.7 5572534 0.00e+00 1.25e-10 2.49e+06 9.70e-01 -7.03e+00 6.59e+00
0.299 0.0099 1.47e-09 1.26e-09 374.64 901.63 210.61 -59.9 5445536 0.00e+00 1.32e-10 2.72e+06 9.52e-01 -6.76e+00 6.48e+00
0.313 0.0103 1.39e-09 1.19e-09 368.32 855.81 203.46 -58.1 5321432 0.00e+00 1.39e-10 2.97e+06 9.34e-01 -6.49e+00 6.37e+00
0.327 0.0108 1.31e-09 1.12e-09 361.94 812.70 196.56 -56.5 5200156 0.00e+00 1.46e-10 3.24e+06 9.16e-01 -6.23e+00 6.26e+00
0.343 0.0113 1.23e-09 1.05e-09 355.49 772.17 189.90 -54.9 5081644 0.00e+00 1.54e-10 3.53e+06 8.97e-01 -5.98e+00 6.15e+00
0.359 0.0118 1.15e-09 9.87e-10 348.92 734.12 183.46 -53.4 4965833 0.00e+00 1.62e-10 3.84e+06 8.77e-01 -5.74e+00 6.03e+00
0.376 0.0125 1.05e-09 8.96e-10 334.56 714.47 177.24 -53.2 4852662 0.00e+00 1.79e-10 4.33e+06 8.62e-01 -5.49e+00 5.79e+00
0.394 0.0132 9.37e-10 8.02e-10 318.09 701.26 171.23 -53.5 4742069 0.00e+00 2.01e-10 4.91e+06 8.46e-01 -5.23e+00 5.50e+00
0.412 0.0140 8.39e-10 7.18e-10 302.42 688.29 165.42 -53.7 4633997 0.00e+00 2.24e-10 5.55e+06 8.28e-01 -4.98e+00 5.23e+00
0.432 0.0149 7.53e-10 6.44e-10 287.86 674.80 159.81 -53.9 4528388 0.00e+00 2.49e-10 6.24e+06 8.09e-01 -4.75e+00 4.98e+00
0.452 0.0156 7.03e-10 6.01e-10 281.37 644.23 154.40 -52.6 4425186 0.00e+00 2.61e-10 6.77e+06 7.86e-01 -4.54e+00 4.87e+00
0.473 0.0163 6.57e-10 5.62e-10 275.19 614.67 149.18 -51.4 4324336 0.00e+00 2.74e-10 7.33e+06 7.62e-01 -4.34e+00 4.76e+00
0.496 0.0171 6.14e-10 5.25e-10 269.27 586.20 144.13 -50.1 4225784 0.00e+00 2.87e-10 7.93e+06 7.38e-01 -4.15e+00 4.66e+00
0.519 0.0179 5.74e-10 4.91e-10 263.34 559.36 139.26 -49.0 4129478 0.00e+00 3.01e-10 8.57e+06 7.14e-01 -3.97e+00 4.55e+00
0.544 0.0187 5.36e-10 4.58e-10 257.42 533.99 134.56 -47.8 4035367 0.00e+00 3.15e-10 9.26e+06 6.90e-01 -3.79e+00 4.45e+00
0.569 0.0196 5.00e-10 4.28e-10 251.54 509.96 130.01 -46.7 3943401 0.00e+00 3.30e-10 9.99e+06 6.66e-01 -3.62e+00 4.35e+00
0.596 0.0205 4.66e-10 3.99e-10 245.66 487.26 125.63 -45.7 3853530 0.00e+00 3.45e-10 1.08e+07 6.43e-01 -3.46e+00 4.25e+00
0.624 0.0215 4.34e-10 3.72e-10 239.82 465.77 121.40 -44.7 3765708 0.00e+00 3.61e-10 1.16e+07 6.19e-01 -3.30e+00 4.15e+00
0.654 0.0226 4.03e-10 3.45e-10 233.55 446.31 117.31 -43.8 3679888 0.00e+00 3.79e-10 1.26e+07 5.96e-01 -3.15e+00 4.04e+00
0.685 0.0240 3.57e-10 3.06e-10 220.42 441.30 113.35 -44.4 3596023 0.00e+00 4.19e-10 1.40e+07 5.76e-01 -2.98e+00 3.81e+00
0.717 0.0256 3.16e-10 2.71e-10 208.04 436.32 109.53 -44.9 3514069 0.00e+00 4.62e-10 1.55e+07 5.55e-01 -2.83e+00 3.60e+00
0.751 0.0273 2.80e-10 2.40e-10 196.34 431.43 105.84 -45.4 3433983 0.00e+00 5.07e-10 1.72e+07 5.34e-01 -2.68e+00 3.40e+00
0.786 0.0291 2.48e-10 2.12e-10 185.31 426.57 102.28 -46.0 3355723 0.00e+00 5.56e-10 1.90e+07 5.14e-01 -2.53e+00 3.20e+00
0.823 0.0310 2.20e-10 1.88e-10 174.88 421.80 98.84 -46.5 3279246 0.00e+00 6.08e-10 2.09e+07 4.94e-01 -2.40e+00 3.02e+00
0.862 0.0330 1.95e-10 1.67e-10 165.05 417.06 95.51 -47.0 3204511 0.00e+00 6.64e-10 2.30e+07 4.74e-01 -2.27e+00 2.85e+00
0.903 0.0348 1.78e-10 1.53e-10 159.39 403.01 92.32 -46.5 3131480 0.00e+00 7.00e-10 2.48e+07 4.55e-01 -2.16e+00 2.76e+00
0.946 0.0366 1.64e-10 1.40e-10 154.08 389.04 89.23 -46.0 3060114 0.00e+00 7.09e-10 2.58e+07 4.27e-01 -2.04e+00 2.66e+00
0.990 0.0384 1.53e-10 1.31e-10 150.47 371.76 86.27 -44.9 2990374 0.00e+00 6.96e-10 2.61e+07 3.98e-01 -1.93e+00 2.60e+00
1.037 0.0402 1.42e-10 1.22e-10 146.94 355.24 83.40 -43.9 2922223 0.00e+00 6.90e-10 2.66e+07 3.71e-01 -1.83e+00 2.54e+00
1.086 0.0421 1.33e-10 1.14e-10 143.52 339.40 80.64 -43.0 2855625 0.00e+00 6.87e-10 2.74e+07 3.47e-01 -1.74e+00 2.48e+00
1.137 0.0441 1.24e-10 1.06e-10 140.22 324.17 77.98 -42.0 2790545 0.00e+00 6.89e-10 2.83e+07 3.26e-01 -1.65e+00 2.43e+00
1.191 0.0462 1.16e-10 9.89e-11 137.05 309.51 75.42 -41.0 2726949 0.00e+00 6.93e-10 2.93e+07 3.06e-01 -1.56e+00 2.37e+00
1.247 0.0484 1.08e-10 9.24e-11 133.98 295.44 72.95 -40.1 2664801 0.00e+00 7.01e-10 3.06e+07 2.87e-01 -1.48e+00 2.32e+00
1.306 0.0508 9.97e-11 8.53e-11 130.07 284.00 70.57 -39.4 2604070 0.00e+00 7.22e-10 3.23e+07 2.72e-01 -1.41e+00 2.25e+00
1.367 0.0534 9.21e-11 7.88e-11 126.22 273.10 68.28 -38.8 2544723 0.00e+00 7.46e-10 3.43e+07 2.57e-01 -1.34e+00 2.18e+00
1.432 0.0561 8.50e-11 7.27e-11 122.40 262.80 66.07 -38.2 2486729 0.00e+00 7.74e-10 3.65e+07 2.44e-01 -1.27e+00 2.12e+00
1.499 0.0589 7.89e-11 6.75e-11 119.26 251.69 63.94 -37.4 2430056 0.00e+00 7.97e-10 3.87e+07 2.31e-01 -1.21e+00 2.06e+00
